I-ONE Agent,AI 员工
"Dashboard number cards & charts will show currency in the selected format. Once set, cannot be edited.",仪表盘数字卡片和图表将按所选格式显示货币。设置后不可编辑。
Dashboard settings updated successfully,仪表盘设置更新成功
Deal status is required,商机状态为必填项
Deals by Ongoing & Won Stage,按进行中和赢单阶段统计商机
Deals by Salesperson,按销售人员统计商机
Deals by Source,按来源统计商机
Deals by Stage,按阶段统计商机
Deals by Territory,按区域统计商机
Declined,已拒绝
Default Calendar View,默认日历视图
Default Calling Medium for Logged In User,当前用户的默认通话渠道
Default Event Notifications,默认活动通知
Default Sending & Inbox,默认发送与收件箱
"Defines the default currency for all records, can be overridden at the field level",定义所有记录的默认货币，可在字段级别覆盖
Delete Contact,删除联系人
Delete Event,删除活动
Delete Invitation,删除邀请
Delete Linked Item,删除关联项
Delete Only User,仅删除用户
Delete Organization,删除组织
Delete {0} Item(s),删除 {0} 项
Deleting note...,正在删除备注...
Demo data restored successfully.,演示数据已成功恢复。
Detail,详情
Detected On,检测时间
Disable ERPNext Integration,禁用 ERPNext 集成
Disable Sales Hierarchy,禁用销售层级
Discard Changes,放弃更改
Discard Unsaved Changes?,放弃未保存的更改？
Dismissed,已忽略
Display format for dates across the system,系统全局日期显示格式
Doctype is required,必须指定文档类型
Document Not Found,未找到文档
Document created successfully,文档创建成功
Donut Chart,环形图
Drag & Drop files here or upload from,将文件拖放到此处，或从以下位置上传
Drag a section or a field here to get started,将区块或字段拖放到此处以开始
Dropdown items,下拉菜单项
Duplicate Event,复制事件
Duplicate SLA Policy,复制 SLA 策略
Duplicate Template,复制模板
Duplicate Workday found: {0}. Each Workday should be unique.,发现重复的工作日：{0}。每个工作日必须唯一。
Duplicate an Event,复制事件
ERPNext custom fields not created,未创建 ERPNext 自定义字段
ERPNext integration is active. Create an Item in ERPNext and it will appear in CRM Product automatically.,ERPNext 集成已激活。在 ERPNext 中创建物料，它将自动出现在 CRM 产品中。
ERPNext integration must be enabled on the same site,必须在同一站点启用 ERPNext 集成
ERPNext is not installed on this site either install it or enter the URL of your ERPNext site to connect,此站点未安装 ERPNext。请安装它或输入您的 ERPNext 站点 URL 以进行连接
Edit Event,编辑事件
Edit Fields Layout,编辑字段布局
Edit Grid Fields,编辑网格字段
Edit Response & Resolution,编辑回复与解决方案
Edit Row,编辑行
Edit Workday,编辑工作日
Edit an Event,编辑事件
Editing Event,正在编辑事件
Email Account created successfully,邮箱账户创建成功
Email Account updated successfully,邮箱账户更新成功
Email Already Exists,邮箱已存在
Email Communication,邮件沟通
Email From Lead,来自线索的邮件
Email already exists,邮箱已存在
Email sent,邮件已发送
Email settings updated successfully,邮件设置更新成功
Emails & Signature,邮箱与签名
Enable Exotel integration to make and receive calls directly from your CRM,启用 Exotel 集成，以便直接从 CRM 拨打和接听电话
Enable Sales Hierarchy,启用销售层级
Enable Sales Hierarchy Permissions,启用销售层级权限
Enable Twilio integration to make and receive calls directly from your CRM,启用 Twilio 集成，以便直接从 CRM 拨打和接听电话
Enable call recording for incoming and outgoing calls,启用呼入和呼出通话录音
Enable the integration to create quotations and auto create customers in ERPNext.,启用集成以创建报价单并在 ERPNext 中自动创建客户。
End Date cannot be before start date,结束日期不能早于开始日期
End Time Should Be After Start Time,结束时间应在开始时间之后
End Time is required,结束时间为必填项
End Time must be after Start Time,结束时间必须在开始时间之后
End Time must be after Start Time for: {0},{0} 的结束时间必须在开始时间之后
Enter Access Key,输入访问密钥
Enter Access Token,输入访问令牌
Enter Brand Name,输入品牌名称
Enter Exotel Number,输入 Exotel 号码
Enter Personal Mobile No.,输入个人手机号码
Enter Source Name,输入来源名称
Enter Twilio Number,输入 Twilio 号码
Enter your Facebook Access Token,输入您的 Facebook 访问令牌
Enter your personal mobile number used by Exotel to make calls,输入 Exotel 用于拨打电话的个人手机号码
Error Syncing Lead,同步线索时出错
Error creating Lead Sync Source,创建线索同步来源时出错
Error creating lead: {0},创建线索时出错：{0}
Error occurred,发生错误
Error syncing leads,同步线索时出错
Error updating Lead Sync Source,更新线索同步来源时出错
Event Notifications,事件通知
Event Title,事件标题
Event created successfully,事件创建成功
Event deleted successfully,事件删除成功
Every 10 Minutes,每 10 分钟
Every 15 Minutes,每 15 分钟
Every 5 Minutes,每 5 分钟
Exact,具体时间
Exotel Integration Disabled,Exotel 集成已禁用
Exotel Settings,Exotel 设置
Expected closure date is required.,必须填写预期成交日期。
Expected deal value is required.,必须填写预期商机价值。
Export all {0} record(s),导出所有 {0} 条记录
FROM,发件人
Facebook Form ID,Facebook 表单 ID
Facebook Lead Form,Facebook 线索表单
Facebook Lead Form Question,Facebook 线索表单问题
Facebook Lead ID,Facebook 线索 ID
Facebook Page,Facebook 页面
Facebook/Instagram Ads,Facebook/Instagram 广告
Failed Lead Sync Log,失败的线索同步日志
Failed to Add Users,添加用户失败
Failed to add reaction to the message,添加消息反应失败
"Failed to create Email Account, Invalid credentials",创建邮箱账户失败，凭据无效
Failed to delete comment,删除评论失败
Failed to delete lead sync source,删除线索同步源失败
Failed to delete note,删除笔记失败
Failed to load fields layout,加载字段布局失败
Failed to load file-based form controller: {0},加载基于文件的表单控制器失败：{0}
Failed to save settings,保存设置失败
Failed to save workday: {0},保存工作日失败：{0}
Failed to send WhatsApp message,发送 WhatsApp 消息失败
Failed to send WhatsApp template,发送 WhatsApp 模板失败
Failed to send comment!,发送评论失败！
Failed to start sync,启动同步失败
"Failed to update Email Account, Invalid credentials",更新邮箱账户失败，凭据无效
Failed to update attending status,更新出席状态失败
Failed to update comment,更新评论失败
Failed to update setting,更新设置失败
Failed to update source,更新源失败
Failure Logs,失败日志
Following up consistently,持续跟进
"For all-day events, <b>set a time</b> to send reminders before the event starts",对于全天活动，请<b>设置时间</b>在活动开始前发送提醒
Forecasted Revenue,预测收入
Form Name,表单名称
From Number,主叫号码
Funnel Conversion,漏斗转化
Go to Invite Page,前往邀请页面
Go to Website,前往网站
Going?,参加吗？
Google Ads,Google 广告
Greater than,大于
Greater than or equal to,大于或等于
Hang Up,挂断
How are you managing your sales today?,您目前如何管理销售业务？
How do new leads usually come to you?,新线索通常如何获取？
How many people will use Frappe CRM?,将有多少人使用 Frappe CRM？
How timestamps are shown in the activity timeline for all users,所有用户在活动时间线中显示的时间戳格式
HubSpot,HubSpot
"I understand, Add Conditions",我已知晓，添加条件
"If enabled, a lead will be automatically created when an incoming email is received from an unknown contact.",启用后，当收到来自未知联系人的邮件时，系统将自动创建线索。
"If enabled, all replies to your company (eg: replies@yourcompany.com) will come to this account. Note: Only one account can be default incoming.",启用后，所有回复给贵公司（例如：replies@yourcompany.com）的邮件都将转发至此账户。注意：只能设置一个默认收件账户。
"If enabled, emails will be pulled from this account.",启用后，系统将从此账户拉取邮件。
Import my existing data,导入现有数据
Incorrect current password. Please try again.,当前密码不正确，请重试。
Invalid Email Address,无效的电子邮件地址
Invalid Email or Password,无效的电子邮件或密码
Invalid GeoJSON,无效的 GeoJSON
Invalid Site URL,无效的网站 URL
Invalid Start Or End Time,无效的起始或结束时间
Invalid Twilio account,无效的 Twilio 账户
Invalid Twilio application,无效的 Twilio 应用
Invalid Website URL,无效的网址
Invalid access token provided for Facebook.,Facebook 提供的访问令牌无效。
Invalid email address,无效的电子邮件地址
Invalid field,无效的字段
Invalid fields: {0},无效的字段：{0}
"Invalid format. Try: 1 hour 30 minutes, 2 hours, 45 seconds, 1:30:45, 90s",格式无效。请尝试：1 小时 30 分钟、2 小时、45 秒、1:30:45、90s
"Invalid format. Try: 1h 30m 45s, 1:30:45, 90s",格式无效。请尝试：1h 30m 45s、1:30:45、90s
Invalid lead details supplied.,提供的线索详情无效。
Invalid or expired key,无效或已过期的密钥
Invitations sent successfully,邀请发送成功
Invite Agent,邀请销售人员
Invite As,邀请为
Invite By Email,通过电子邮件邀请
Invite Users,邀请用户
Invite my team,邀请我的团队
It appears that there are currently no {0} available. You can create more {0} by using the Create button.,当前没有可用的{0}。您可以使用“创建”按钮创建更多{0}。
Items are required,必须选择记录
Items must be a list,记录必须为列表
"John, Jane, Doe",张三、李四、王五
Just exploring,仅用于探索
Just me,仅我本人
Kanban settings,看板设置
Keeping my pipeline organized,保持我的销售漏斗井然有序
Kind,类型
Language & Time,语言与时间
Last Responded On,最后回复时间
Last Response Time,最后响应时间
Lead Data,线索数据
Lead Sync Source,线索同步源
Lead Sync Source created successfully,线索同步源创建成功
Lead Syncing,线索同步
Lead and deal visibility will no longer be restricted by the reporting tree. Are you sure?,线索和商机的可见性将不再受汇报层级限制。确定吗？
Lead from call {0},来自通话 {0} 的线索
Lead sync initiated.,线索同步已启动。
Lead sync source deleted successfully,线索同步源删除成功
Leads by Source,按来源统计线索
Less than,小于
Less than or equal to,小于或等于
Linked Item {0} no longer exists,关联的物料 {0} 已不存在
Log ID,日志 ID
Login with Different Account,使用其他账户登录
Lost Deal Reasons,丢单原因
Lost Details,丢单详情
"Lost Notes are required when Lost Reason is ""Other""",当丢单原因为“其他”时，必须填写丢单备注
Lost Reason is required,必须填写丢单原因
Manage ERPNext integration settings,管理 ERPNext 集成设置
Manage your account emails and email signature for communication.,管理账户邮箱和邮件签名，用于客户沟通。
Manage your email signature,管理您的邮件签名
Manage your profile & login information.,管理您的个人资料和登录信息。
Manage your service level agreement policies,管理 SLA 策略
Managing contacts and companies,管理联系人和组织
Mandatory field(s) {0} must be mapped,必须映射必填字段 {0}
Mapped to CRM Field,映射到 CRM 字段
Mark lead/deal as replied on response,收到回复时将线索/商机标记为已回复
Maybe,待定
Missed Call,未接来电
Missing mandatory fields: {0},缺少必填字段：{0}
Mobile App Installation,移动应用安装
Mobile No. should be a number,手机号码应为数字
More than 20,超过 20
Move Last Column to Next Section,将最后一列移至下一节
Move Last Column to Next Tab,将最后一列移至下一标签页
Move Last Column to Previous Section,将最后一列移至上一节
Move Last Column to Previous Tab,将最后一列移至上一标签页
Move to Next Tab,移至下一标签页
Move to Previous Tab,移至上一标签页
Move to top level,移至顶层
Move under {0},移至 {0} 下
Nested Conditions,嵌套条件
New Lead Sync Source,新建线索同步源
New SLA Policy,新建 SLA 策略
New SLA Policy Name,新 SLA 策略名称
New Template,新建模板
New password cannot be the same as current password,新密码不能与当前密码相同
New password cannot be the same as current password. Please choose a different password.,新密码不能与当前密码相同。请选择不同的密码。
Newest First,最新优先
Next question,下一题
No Contacts Added,未添加联系人
No Details Added,未添加详情
No Failure Logs Found,未找到失败日志
No Mobile Number Set,未设置手机号
No New Notifications,无新通知
No Primary Contact Set,未设置主要联系人
No Priorities in the list,列表中无优先级
No Results Found,未找到结果
No Templates Found,未找到模板
No Users Found,未找到用户
No Website Found,未找到网站
No Workdays in the List,列表中无工作日
No companies found in the given site,在给定站点中未找到公司
No events coming up. Create a new one to keep things on track.,暂无即将发生的事件。创建新事件以保持进度。
No holiday list found,未找到假日列表
No matching users,无匹配的用户
No users in hierarchy,层级中无用户
No users match the current filter.,没有用户匹配当前筛选条件。
No {0} available,无可用的 {0}
Not Synced,未同步
Not equals,不等于
Not implemented yet!,尚未实现！
Not in,不在
Not like,不包含
Not permitted to access reference document {0} {1}.,无权访问参考文档 {0} {1}。
Not permitted to access the referenced WhatsApp message.,无权访问引用的 WhatsApp 消息。
Not permitted to modify fields layout,无权修改字段布局
Note deleted,笔记已删除
Number Chart,数值图表
Number of decimal places for non-currency numeric fields,非货币数值字段的小数位数
Number of decimal places used for all currency values,所有货币值使用的小数位数
Old Conditions,旧条件
Oldest First,最旧优先
Ongoing Deals,进行中的商机
Only System Managers can assign the Sales Manager role,只有系统管理员可以分配销售经理角色
Only System Managers can assign the System Manager role,只有系统管理员可以分配系统管理员角色
Only System Managers can modify other System Managers,只有系统管理员可以修改其他系统管理员
Only sales users can access WhatsApp features.,只有销售用户可以使用 WhatsApp 功能。
Open Nested Conditions,展开嵌套条件
Open Website,打开网站
"Order of activities, emails, comments and calls in the timeline",时间线中活动、邮件、评论和通话的顺序
"Order of activities, emails, comments and calls in the timeline for all users",所有用户时间线中活动、邮件、评论和通话的顺序
Organization or a primary Contact is required to create a customer,创建客户需要组织或主要联系人
Organize my contacts,整理我的联系人
Other Features,其他功能
Password Updated Successfully,密码更新成功
Password is too weak. {0},密码过于简单。{0}
Password must be at least 8 characters,密码必须至少包含 8 个字符
"Password must contain lowercase, uppercase, number, and symbol",密码必须包含小写字母、大写字母、数字和符号
Passwords match,密码一致
